discord_name,vrc_name,runstyle,role
shiroiyama_envt,Shiroiyama,EC+LS+PC+FR,0
deltafox002,［264th］Manhattan_Cafe a424,LS,1
azusafloat,AzusaFloat~,FR,1
kukuma89,Akuu_,FR,3
ayako2499,-Ayako-,PC,3
gyroid.,Argо,EC,3
manhattancafee,manhattancafé,LS,3
lemonkatz,Lemonkatz,EC,3
mini1916,Mizuni5,PC,3
luluveeowo,LuluVee,FR,3
jaypl404,SkaTeio,PC,3
jdiegofake,Jdiegofake,LS,3
neofansub,NeoGreyrat,FR,3
genesisofkosmo,GenesisOfKosmo,LS+PC,3
maineriabrot,人魚MainériaBrot༉,PS+PC,3
drywall_deluxe,Drywall_Deluxe,LS+EC,3
markthematey,markthematey,PC,3